Company Name,Com Shares Outstanding Qtly[0Q],Com Shares Outstanding Qtly[-1Q],Com Shares Outstanding Qtly[-2Q],Com Shares Outstanding Qtly[-3Q],Com Shares Outstanding Qtly[-4Q],Com Shares Outstanding Qtly[-5Q],Com Shares Outstanding Qtly[-6Q],Com Shares Outstanding Qtly[-7Q],Com Shares Outstanding Qtly[-8Q],Com Shares Outstanding Qtly[-9Q],Com Shares Outstanding Qtly[-10Q],Com Shares Outstanding Qtly[-11Q],Com Shares Outstanding Qtly[-12Q],Com Shares Outstanding Qtly[-13Q],Com Shares Outstanding Qtly[-14Q],Com Shares Outstanding Qtly[-15Q],Com Shares Outstanding Qtly[-16Q],Com Shares Outstanding Qtly[-17Q],Com Shares Outstanding Qtly[-18Q],Com Shares Outstanding Qtly[-19Q],Com Shares Outstanding Qtly[-20Q],Com Shares Outstanding Qtly[-21Q],Com Shares Outstanding Qtly[-22Q],Com Shares Outstanding Qtly[-23Q],Com Shares Outstanding Qtly[-24Q],Com Shares Outstanding Qtly[-25Q],Com Shares Outstanding Qtly[-26Q],Com Shares Outstanding Qtly[-27Q],Com Shares Outstanding Qtly[-28Q],Com Shares Outstanding Qtly[-29Q],Com Shares Outstanding Qtly[-30Q],Com Shares Outstanding Qtly[-31Q],Com Shares Outstanding Qtly[-32Q],Com Shares Outstanding Qtly[-33Q],Com Shares Outstanding Qtly[-34Q],Com Shares Outstanding Qtly[-35Q],Com Shares Outstanding Qtly[-36Q],Com Shares Outstanding Qtly[-37Q],Com Shares Outstanding Qtly[-38Q],Com Shares Outstanding Qtly[-39Q],Com Shares Outstanding Qtly[-40Q],Com Shares Outstanding Qtly[-41Q],Com Shares Outstanding Qtly[-42Q],Com Shares Outstanding Qtly[-43Q],Com Shares Outstanding Qtly[-44Q],Com Shares Outstanding Qtly[-45Q],Com Shares Outstanding Qtly[-46Q],Com Shares Outstanding Qtly[-47Q],Com Shares Outstanding Qtly[-48Q]
3D SYSTEMS CORP,50.6510009765625,50.51799011230469,50.425994873046875,49.735992431640625,46.67999267578125,46.332000732421875,46.079986572265625,45.927978515625,45.399993896484375,45.2760009765625,45.251983642578125,44.837982177734375,44.72998046875,44.73199462890625,44.72998046875,44.66998291015625,44.347991943359375,44.22198486328125,41.189971923828125,38.2139892578125,38.113983154296875,38.11199951171875,36.605987548828125,31.242000579833984,30.579999923706055,30.54800033569336,30.229999542236328,29.29599952697754,28.964000701904297,26.799999237060547,26.36400032043457,26.224000930786133,25.79400062561035,25.757999420166016,25.468000411987305,25.468000411987305,25.450000762939453,25.41200065612793,25.288000106811523,26.290000915527344,26.263999938964844,25.013999938964844,24.974000930786133,24.610000610351562,24.396,24.132,23.768,23.348,22.866
3M CO,693.871826171875,694.969970703125,700.844970703125,709.535888671875,710.576904296875,711.97802734375,714.85888671875,713.1337890625,713.06787109375,710.598876953125,707.9580078125,698.32080078125,694.3837890625,693.54296875,692.954833984375,698.989990234375,704.286865234375,709.156005859375,713.22900390625,715.81201171875,720.204833984375,734.36279296875,736.365966796875,753.23486328125,753.931884765625,754.537841796875,759.931884765625,765.072021484375,769.56982421875,773.517822265625,778.533935546875,782.702880859375,782.114013671875,784.116943359375,784.8828125,783.005859375,781.66796875,780.3916015625,780.3935546875,782.60791015625,778.69580078125,782.60791015625,784.169921875,788.251953125,791.82958984375,792.17,788.866,790.584,791.618
AAON INC,24.617996215820312,24.652999877929688,24.669998168945312,24.725990295410156,24.758995056152344,24.80847930908203,24.863983154296875,25.696495056152344,25.822494506835938,25.76850128173828,25.733985900878906,25.75499725341797,25.813499450683594,25.726478576660156,25.921485900878906,26.965484619140625,27.08100128173828,28.154983520507812,28.068750858306885,28.028249502182007,27.762749433517456,27.672749519348145,27.756000995635986,27.68399977684021,27.526500463485718,27.69974970817566,27.708749055862427,27.846000909805298,27.787500858306885,27.91350030899048,27.992249965667725,28.05524969100952,28.17000102996826,28.21725082397461,28.480499982833862,28.77975082397461,29.31975030899048,29.753999948501587,29.73599910736084,29.68987476825714,29.247751235961914,29.220746755599976,29.261248648166656,29.124558985233307,29.1751875,29.433375,29.615624999999998,29.8130625,31.4229375
AAR CORP,40.287994384765625,40.28399658203125,40.46099853515625,39.78099060058594,39.74198913574219,39.67799377441406,39.662994384765625,39.48399353027344,39.024993896484375,38.93199157714844,38.92698669433594,38.88398742675781,38.701995849609375,38.73699951171875,38.7449951171875,38.77299499511719,38.73799133300781,37.722991943359375,37.71199035644531,37.72898864746094,37.227996826171875,36.912994384765625,36.69099426269531,36.65399169921875,36.347991943359375,33.09199523925781,33.003997802734375,32.58599853515625,32.26100158691406,32.24800109863281,32.24299621582031,32.2449951171875,32.2449951171875,32.04499816894531,31.849990844726562,31.850997924804688,31.850997924804688,31.842987060546875,31.864990234375,31.8699951171875,31.858993530273438,26.875991821289062,26.957992553710938,26.937,26.945,26.932,26.857,26.865,26.963
AARON'S INC,75.63999938964844,75.63999938964844,75.36799621582031,78.98699951171875,79.98399353027344,80.08699035644531,81.06098937988281,81.48100280761719,81.47399139404297,81.35698699951172,81.35250091552734,81.3599853515625,80.92948150634766,80.47499084472656,80.26348114013672,79.91999816894531,79.86749267578125,80.41049194335938,81.3284912109375,81.31498718261719,81.26099395751953,81.20848846435547,81.03749084472656,80.94149780273438,75.72898864746094,75.04048919677734,74.89798736572266,74.72550201416016,74.65949249267578,74.6415023803711,74.5934829711914,74.46375274658203,74.40974807739258,73.74373626708984,73.68073654174805,73.29146003723145,73.28811264038086,73.28811264038086,73.28811264038086,73.20370674133301,67.25697898864746,67.39870262145996,67.40884780883789,67.32109451293945,67.0645809173584,67.06125,67.010625,66.686625,67.14224999999999
ABAXIS INC,21.68798828125,21.68798828125,21.652999877929688,22.750991821289062,22.586990356445312,22.514999389648438,22.341995239257812,22.2869873046875,22.11199951171875,22.0469970703125,22.018997192382812,21.985000610351562,21.932998657226562,21.894989013671875,21.791000366210938,21.767990112304688,21.70599365234375,21.623992919921875,21.465988159179688,21.42498779296875,21.207000732421875,20.775985717773438,20.71099853515625,20.537994384765625,20.134994506835938,20.066986083984375,19.95098876953125,19.902999877929688,19.891998291015625,19.791000366210938,19.673995971679688,19.633987426757812,19.519989013671875,19.39599609375,17.40399169921875,16.958999633789062,16.815994262695312,16.807998657226562,16.78399658203125,16.404998779296875,16.339996337890625,16.332992553710938,16.2449951171875,16.219985961914062,16.102,15.919,15.871,15.774,15.695
ABBOTT LABORATORIES,1570.37890625,1570.37890625,1557.7958984375,1556.576904296875,1554.282958984375,1546.98388671875,1545.81591796875,1544.029052734375,1543.56494140625,1551.16796875,1546.738037109375,1545.912841796875,1545.458984375,1552.432861328125,1551.58203125,1541.546875,1543.2958984375,1549.909912109375,1545.27294921875,1545.452880859375,1540.35986328125,1537.242919921875,1534.864013671875,1527.806884765625,1526.217041015625,1539.23486328125,1551.22802734375,1554.416015625,1550.677001953125,1560.02392578125,1557.391845703125,1561.156982421875,1559.676025390625,1564.517822265625,1563.35302734375,1562.56005859375,1560.968017578125,1563.06787109375,1562.541015625,1562.130859375,1560.614013671875,1554.530029296875,1552.237060546875,1550.906982421875,1548.2548828125,1545.934,1546.428,1549.931,1549.132
ABERCROMBIE & FITCH  -CL A,85.63800048828125,87.15798950195312,86.96600341796875,87.37699890136719,87.24600219726562,87.81098937988281,88.24600219726562,88.19699096679688,87.98599243164062,87.95899963378906,87.90798950195312,87.843994140625,87.63600158691406,87.04798889160156,86.99899291992188,86.44599914550781,86.15899658203125,86.04798889160156,88.2919921875,87.86599731445312,88.30000305175781,88.19200134277344,88.03799438476562,87.85800170898438,87.72599792480469,87.60600280761719,88.70799255371094,86.32398986816406,86.03700256347656,90.55599975585938,95.77299499511719,94.78799438476562,94.60699462890625,96.32699584960938,96.43800354003906,98.00399780273438,97.26899719238281,97.24899291992188,97.62699890136719,99.072998046875,98.87300109863281,98.8699951171875,99.47000122070312,99.26100158691406,98.796,98.78,99.07,100.763,102.004
ABM INDUSTRIES INC,53.70500183105469,53.33299255371094,53.23500061035156,53.118988037109375,52.989990234375,52.63499450683594,52.20399475097656,52.01899719238281,51.88499450683594,51.68798828125,51.489990234375,51.321990966796875,51.144989013671875,50.96299743652344,50.75599670410156,50.47599792480469,50.092987060546875,50.01899719238281,49.89898681640625,49.70599365234375,48.868988037109375,48.63499450683594,48.930999755859375,48.56298828125,49.2659912109375,49.050994873046875,48.69599914550781,49.756988525390625,49.623992919921875,48.707000732421875,48.47200012207031,48.81298828125,48.58299255371094,48.36698913574219,49.31199645996094,49.144989013671875,48.839996337890625,48.99699401855469,49.17399597167969,48.029998779296875,49.269989013671875,48.777984619140625,48.363983154296875,47.7239990234375,46.75799560546875,45.998,45.478,45.052,44.676
ACADIA REALTY TRUST,42.58599853515625,42.58599853515625,40.33299255371094,40.33099365234375,40.32099914550781,40.25498962402344,40.24699401855469,40.14299011230469,40.1199951171875,39.7869873046875,39.67900085449219,39.67900085449219,39.65899658203125,32.358001708984375,32.35499572753906,32.35099792480469,32.26399230957031,32.183990478515625,32.17498779296875,32.16899108886719,32.12998962402344,31.772994995117188,31.772994995117188,31.771987915039062,31.766998291015625,31.542999267578125,31.541000366210938,31.444992065429688,31.393997192382812,31.340988159179688,29.298995971679688,29.26300048828125,29.093994140625,27.40899658203125,27.321990966796875,27.136993408203125,25.430999755859375,25.256988525390625,25.047988891601562,24.79998779296875,24.699996948242188,28.697998046875,28.448989868164062,28.48199462890625,28.011993408203125,28.15,28.345,25.145,25.294
