Company Name,Market Value-Mnthly[-10Y],Market Value-Mnthly[-9Y],Market Value-Mnthly[-8Y],Market Value-Mnthly[-7Y],Market Value-Mnthly[-6Y],Market Value-Mnthly[-5Y],Market Value-Mnthly[-4Y],Market Value-Mnthly[-3Y],Market Value-Mnthly[-2Y],Market Value-Mnthly[-1Y],Market Value-Mnthly[0Y],Price/Earnings - Monthly[-10Y],Price/Earnings - Monthly[-9Y],Price/Earnings - Monthly[-8Y],Price/Earnings - Monthly[-7Y],Price/Earnings - Monthly[-6Y],Price/Earnings - Monthly[-5Y],Price/Earnings - Monthly[-4Y],Price/Earnings - Monthly[-3Y],Price/Earnings - Monthly[-2Y],Price/Earnings - Monthly[-1Y],Price/Earnings - Monthly[0Y],Price/Cash Flow-Share Mtly[-10Y],Price/Cash Flow-Share Mtly[-9Y],Price/Cash Flow-Share Mtly[-8Y],Price/Cash Flow-Share Mtly[-7Y],Price/Cash Flow-Share Mtly[-6Y],Price/Cash Flow-Share Mtly[-5Y],Price/Cash Flow-Share Mtly[-4Y],Price/Cash Flow-Share Mtly[-3Y],Price/Cash Flow-Share Mtly[-2Y],Price/Cash Flow-Share Mtly[-1Y],Price/Cash Flow-Share Mtly[0Y],Price to Book[-10Y],Price to Book[-9Y],Price to Book[-8Y],Price to Book[-7Y],Price to Book[-6Y],Price to Book[-5Y],Price to Book[-4Y],Price to Book[-3Y],Price to Book[-2Y],Price to Book[-1Y],Price to Book[0Y],Beta[-10Y],Beta[-9Y],Beta[-8Y],Beta[-7Y],Beta[-6Y],Beta[-5Y],Beta[-4Y],Beta[-3Y],Beta[-2Y],Beta[-1Y],Beta[0Y],Return on Assets[-10Y],Return on Assets[-9Y],Return on Assets[-8Y],Return on Assets[-7Y],Return on Assets[-6Y],Return on Assets[-5Y],Return on Assets[-4Y],Return on Assets[-3Y],Return on Assets[-2Y],Return on Assets[-1Y],Return on Assets[0Y],Cash[-10Y],Cash[-9Y],Cash[-8Y],Cash[-7Y],Cash[-6Y],Cash[-5Y],Cash[-4Y],Cash[-3Y],Cash[-2Y],Cash[-1Y],Cash[0Y],Bad Debt Reserve[-10Y],Bad Debt Reserve[-9Y],Bad Debt Reserve[-8Y],Bad Debt Reserve[-7Y],Bad Debt Reserve[-6Y],Bad Debt Reserve[-5Y],Bad Debt Reserve[-4Y],Bad Debt Reserve[-3Y],Bad Debt Reserve[-2Y],Bad Debt Reserve[-1Y],Bad Debt Reserve[0Y],EBIT[-10Y],EBIT[-9Y],EBIT[-8Y],EBIT[-7Y],EBIT[-6Y],EBIT[-5Y],EBIT[-4Y],EBIT[-3Y],EBIT[-2Y],EBIT[-1Y],EBIT[0Y]
3M CO,"47,529.176 ","46,348.484 ","48,111.289 ","66,738.602 ","63,894.285 ","58,894.730 ","57,385.004 ","60,139.469 ","39,872.629 ","58,526.887 ","61,692.332 ",25.693 ,32.565 ,24.368 ,27.697 ,21.428 ,18.856 ,15.132 ,14.793 ,11.624 ,18.129 ,15.087 ,16.572 ,18.276 ,16.804 ,20.611 ,16.485 ,14.442 ,12.936 ,10.801 ,8.142 ,14.780 ,11.803 ,7.384 ,7.517 ,7.242 ,8.889 ,7.348 ,5.748 ,5.225 ,5.482 ,3.268 ,4.735 ,3.979 ,@NA,@NA,@NA,@NA,@NA,@NA,0.567 ,0.653 ,0.444 ,0.783 ,0.815 ,12.787 ,9.790 ,12.878 ,13.653 ,14.439 ,15.766 ,18.085 ,16.587 ,13.544 ,11.717 ,13.546 ,302.000 ,616.000 ,618.000 ,"1,836.000 ","2,757.000 ","1,072.000 ","1,918.000 ","2,475.000 ","2,222.000 ","3,784.000 ","4,478.000 ",@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,"3,081.000 ","2,777.000 ","3,248.000 ","3,806.000 ","4,578.000 ","5,039.000 ","5,173.000 ","5,512.000 ","5,487.000 ","5,008.000 ","5,918.000 "
99 CENTS ONLY STORES,958.277 ,936.992 ,"1,982.957 ","1,882.752 ","1,962.956 ","1,123.217 ",943.125 ,"1,024.810 ",692.893 ,646.329 ,"1,125.368 ",27.920 ,23.804 ,40.692 ,31.976 ,34.468 ,41.436 ,84.750 ,105.214 ,247.250 ,77.000 ,18.523 ,25.137 ,20.477 ,35.144 ,26.133 ,23.353 ,18.390 ,17.689 ,24.662 ,17.720 ,20.259 ,14.175 ,4.929 ,3.894 ,6.686 ,5.074 ,4.148 ,2.393 ,1.880 ,1.976 ,1.307 ,1.223 ,1.949 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,1.365 ,1.042 ,0.344 ,0.420 ,15.239 ,14.014 ,13.756 ,13.406 ,10.218 ,4.637 ,1.817 ,1.518 ,0.445 ,1.279 ,8.103 ,58.955 ,118.464 ,147.798 ,154.842 ,145.988 ,93.529 ,122.581 ,117.996 ,89.855 ,114.979 ,175.534 ,1.714 ,3.069 ,3.253 ,3.604 ,4.429 ,7.183 ,1.130 ,4.403 ,3.170 ,1.191 ,6.191 ,55.446 ,59.905 ,73.950 ,90.501 ,87.385 ,45.289 ,7.454 ,6.569 ,(5.855),23.269 ,93.416 
AAON INC,102.835 ,212.155 ,243.718 ,248.700 ,199.461 ,220.139 ,324.348 ,372.021 ,359.052 ,335.579 ,466.227 ,8.113 ,15.012 ,16.604 ,17.330 ,26.783 ,19.226 ,18.906 ,15.984 ,12.810 ,12.106 ,21.700 ,6.502 ,11.758 ,12.446 ,12.936 ,13.125 ,11.756 ,13.458 ,11.420 ,9.733 ,9.161 ,14.591 ,2.923 ,4.639 ,3.915 ,3.889 ,2.856 ,2.802 ,3.623 ,3.482 ,3.835 ,2.921 ,4.064 ,@NA,@NA,@NA,@NA,@NA,@NA,0.995 ,1.221 ,0.684 ,0.830 ,0.813 ,16.655 ,18.554 ,15.931 ,13.936 ,7.147 ,10.089 ,13.174 ,16.885 ,20.313 ,17.746 ,13.660 ,0.017 ,1.123 ,5.071 ,16.186 ,3.994 ,1.837 ,0.288 ,0.879 ,0.269 ,25.639 ,13.416 ,3.584 ,3.546 ,3.712 ,4.832 ,2.576 ,2.065 ,0.719 ,1.038 ,2.008 ,2.272 ,1.480 ,20.827 ,22.842 ,22.811 ,21.340 ,12.246 ,17.814 ,25.831 ,35.666 ,43.388 ,43.754 ,32.715 
AAR CORP,374.112 ,377.048 ,307.278 ,143.325 ,308.907 ,520.305 ,877.981 ,"1,212.055 ",746.869 ,568.846 ,768.792 ,10.673 ,20.290 ,@NM,@NM,68.429 ,27.655 ,22.505 ,19.939 ,9.451 ,9.545 ,16.838 ,5.996 ,11.072 ,(12.306),7.451 ,@CF,@CF,15.438 ,13.934 ,6.848 ,@SF,@CF,1.092 ,1.093 ,0.976 ,0.464 ,1.042 ,1.650 ,2.233 ,2.580 ,1.323 ,0.886 ,1.043 ,@NA,@NA,@NA,@NA,@NA,@NA,2.202 ,2.135 ,2.618 ,1.031 ,1.117 ,4.745 ,2.640 ,(8.299),(1.807),0.494 ,2.536 ,3.592 ,5.568 ,5.561 ,5.851 ,2.973 ,1.241 ,13.809 ,34.522 ,29.154 ,41.010 ,50.338 ,121.738 ,83.317 ,112.435 ,112.505 ,79.370 ,7.282 ,8.729 ,12.052 ,11.553 ,5.686 ,4.409 ,4.530 ,2.093 ,2.867 ,2.016 ,1.962 ,70.658 ,45.790 ,4.711 ,3.573 ,20.811 ,33.824 ,62.655 ,86.708 ,128.570 ,125.529 ,95.415 
AARON'S INC,275.959 ,314.966 ,478.953 ,650.198 ,"1,220.703 ","1,038.609 ","1,535.150 ","1,027.107 ","1,385.738 ","1,463.395 ","1,652.875 ",10.190 ,26.290 ,16.702 ,17.973 ,23.585 ,18.172 ,19.187 ,14.252 ,16.534 ,13.268 ,13.966 ,1.811 ,1.992 ,2.419 ,2.785 ,@SF,2.819 ,3.396 ,@CF,@CF,2.432 ,2.535 ,1.364 ,1.445 ,1.759 ,2.099 ,3.382 ,2.476 ,2.619 ,1.532 ,1.873 ,1.698 ,1.708 ,@NA,@NA,@NA,@NA,@NA,@NA,0.297 ,1.240 ,0.639 ,0.582 ,0.743 ,7.167 ,3.106 ,5.674 ,6.560 ,7.513 ,6.755 ,8.027 ,7.211 ,6.955 ,8.542 ,7.881 ,0.095 ,0.093 ,0.096 ,0.095 ,5.865 ,6.973 ,8.807 ,5.249 ,7.376 ,109.685 ,72.022 ,@NA,@NA,4.598 ,5.271 ,5.657 ,6.019 ,@NA,@NA,5.984 ,5.917 ,6.123 ,49.531 ,31.713 ,48.419 ,63.625 ,84.419 ,102.157 ,127.239 ,132.446 ,147.398 ,185.903 ,194.761 
ABAXIS INC,117.175 ,80.606 ,104.531 ,64.069 ,395.082 ,175.159 ,455.414 ,509.260 ,502.187 ,377.539 ,600.382 ,@NM,@NM,320.000 ,190.500 ,15.631 ,35.400 ,61.297 ,49.735 ,39.948 ,31.346 ,46.085 ,@CF,@CF,48.171 ,20.499 ,70.017 ,6.658 ,53.156 ,41.854 ,32.768 ,22.396 ,33.215 ,39.950 ,6.823 ,7.732 ,3.475 ,12.593 ,2.925 ,6.679 ,6.183 ,5.007 ,3.090 ,4.238 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,1.492 ,1.604 ,1.289 ,1.145 ,(5.164),(5.615),2.891 ,2.382 ,38.150 ,6.832 ,8.998 ,9.807 ,10.341 ,8.537 ,7.760 ,2.049 ,2.012 ,4.098 ,10.430 ,17.322 ,22.634 ,30.536 ,45.211 ,24.210 ,70.013 ,60.200 ,8.360 ,4.508 ,2.299 ,3.446 ,3.038 ,1.904 ,0.739 ,1.017 ,1.165 ,1.616 ,1.827 ,(0.618),1.146 ,1.498 ,1.573 ,4.720 ,7.096 ,10.732 ,14.375 ,17.708 ,17.795 ,20.775 
ABBOTT LABORATORIES,"74,865.969 ","86,616.320 ","62,501.641 ","72,852.250 ","72,652.336 ","61,164.922 ","74,763.227 ","86,767.078 ","82,807.930 ","83,508.383 ","74,060.047 ",26.910 ,55.750 ,22.346 ,29.125 ,22.980 ,18.170 ,43.491 ,23.996 ,17.441 ,14.553 ,16.077 ,21.285 ,31.604 ,15.662 ,21.915 ,16.597 ,12.945 ,16.062 ,23.388 ,12.844 ,11.044 ,10.306 ,9.005 ,9.989 ,5.926 ,6.140 ,5.608 ,4.288 ,4.782 ,5.559 ,4.280 ,3.914 ,3.460 ,@NA,@NA,@NA,@NA,@NA,@NA,0.350 ,0.337 ,0.207 ,0.196 ,0.302 ,18.229 ,6.655 ,11.516 ,10.306 ,11.040 ,11.571 ,4.745 ,9.081 ,11.161 ,10.962 ,7.780 ,"1,156.718 ",713.540 ,966.127 ,"1,286.421 ","2,058.962 ","2,956.093 ","1,373.435 ","2,820.827 ","5,079.625 ","9,932.048 ","7,323.940 ",@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,"3,262.068 ","3,537.932 ","3,940.841 ","4,164.772 ","4,455.326 ","4,835.399 ","4,860.219 ","5,523.545 ","6,477.095 ","6,903.741 ","8,038.781 "
ABERCROMBIE & FITCH  -CL A,"2,944.632 ","2,624.999 ","2,707.412 ","2,498.469 ","4,367.908 ","5,817.955 ","7,019.087 ","6,856.917 ","1,553.896 ","2,774.984 ","4,415.714 ",18.867 ,15.618 ,13.990 ,12.217 ,21.511 ,17.334 ,16.605 ,14.604 ,5.685 ,35.044 ,29.479 ,@CF,@CF,@CF,8.788 ,14.700 ,14.788 ,13.312 ,10.828 ,2.444 ,8.542 ,12.774 ,8.570 ,5.144 ,4.133 ,3.043 ,5.618 ,6.959 ,5.792 ,4.878 ,0.863 ,1.560 ,2.391 ,@NA,@NA,@NA,@NA,@NA,@NA,1.158 ,0.897 ,2.014 ,1.476 ,1.630 ,26.916 ,21.890 ,19.595 ,14.808 ,16.055 ,18.661 ,18.780 ,18.527 ,9.559 ,2.798 ,5.098 ,137.581 ,238.884 ,401.035 ,521.073 ,350.368 ,461.854 ,529.752 ,648.530 ,522.122 ,712.469 ,826.353 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,253.652 ,271.458 ,312.617 ,331.180 ,380.535 ,550.704 ,648.107 ,728.763 ,461.096 ,104.379 ,221.876 
ABM INDUSTRIES INC,637.618 ,663.390 ,724.070 ,768.648 ,"1,006.790 ",964.611 ,972.485 ,"1,174.283 ",829.482 ,968.635 ,"1,177.561 ",14.401 ,20.073 ,16.322 ,21.315 ,34.016 ,22.477 ,10.453 ,23.059 ,15.702 ,17.389 ,18.333 ,9.669 ,8.954 ,@CF,@CF,@CF,@CF,15.978 ,@CF,@CF,10.881 ,12.625 ,2.121 ,1.848 ,1.897 ,1.926 ,2.214 ,2.041 ,1.978 ,1.978 ,1.301 ,1.436 ,1.643 ,@NA,@NA,@NA,@NA,@NA,@NA,0.835 ,0.830 ,1.119 ,1.280 ,1.185 ,6.827 ,4.742 ,6.629 ,4.573 ,3.617 ,4.819 ,9.171 ,4.679 ,3.402 ,3.648 ,4.124 ,2.000 ,3.052 ,19.427 ,110.947 ,63.369 ,56.793 ,134.001 ,136.192 ,0.710 ,34.153 ,39.446 ,2.392 ,2.501 ,2.032 ,2.154 ,2.538 ,1.734 ,1.048 ,0.835 ,1.776 ,1.382 ,@NA,76.013 ,55.547 ,60.355 ,58.910 ,64.578 ,64.775 ,83.974 ,78.354 ,114.309 ,82.506 ,118.882 
ACADIA REALTY TRUST,158.805 ,180.353 ,186.175 ,341.525 ,510.826 ,632.397 ,794.961 ,824.002 ,461.706 ,670.937 ,734.233 ,7.500 ,33.421 ,16.130 ,41.667 ,35.435 ,32.339 ,52.125 ,50.216 ,27.980 ,22.493 ,24.320 ,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@CF,@CF,0.936 ,1.061 ,1.191 ,1.968 ,2.811 ,2.864 ,3.609 ,3.355 ,1.823 ,2.144 ,2.314 ,@NA,@NA,@NA,@NA,@NA,@NA,0.335 ,0.832 ,1.243 ,1.337 ,1.243 ,3.802 ,2.043 ,2.570 ,2.023 ,3.505 ,4.322 ,1.854 ,1.807 ,1.541 ,2.069 ,1.966 ,27.380 ,39.384 ,48.615 ,18.005 ,18.578 ,45.520 ,147.759 ,129.980 ,93.485 ,102.390 ,149.202 ,15.239 ,5.370 ,14.241 ,14.756 ,11.927 ,9.335 ,6.047 ,4.177 ,3.974 ,4.698 ,6.536 ,37.220 ,29.323 ,20.332 ,19.244 ,24.602 ,35.825 ,32.514 ,32.065 ,64.040 ,33.689 ,53.843 
