"Nalî","Abdurrahman Sharafkandi"
"David Wechsler","Alan S. Kaufman"
"Brian O'Nolan","Amanda Filipacchi"
"Donald Barthelme","Amanda Filipacchi"
"Alexei Savrasov","Arkhip Kuindzhi"
"Knut Ångström","August Kundt"
"Redd Foxx","Bernie Mac"
"Redd Foxx","Bill Cosby"
"Abbie Hoffman","Bob Black"
"Rodney Dangerfield","Bob Saget"
"Chad Oliver","Bruce Sterling"
"Hunter S. Thompson","Cameron Crowe"
"Gottfried Kinkel","Carl Schurz"
"William Sturgeon","Charles Grafton Page"
"Redd Foxx","Chris Rock"
"Rodney Dangerfield","Chris Rock"
"Robert W. Chambers","Clark Ashton Smith"
"Alexander Pushkin","Constantin Stanislavski"
"Josip Murn","Dane Zajc"
"Srečko Kosovel","Dane Zajc"
"Chris Rock","Dave Chappelle"
"Albert W. Tucker","David Gale"
"Vic Reeves","David Walliams"
"Dorothy L. Sayers","Diana Gabaldon"
"Otto Rank","Ernest Becker"
"Auguste Forel","Eugen Bleuler"
"Karel Hynek Mácha","František Halas"
"Hunter S. Thompson","Fred Reed"
"Jack Vance","Gene Wolfe"
"R. A. Lafferty","Gene Wolfe"
"Alan Moore","Geoff Johns"
"Alfred North Whitehead","Hans Jonas"
"Jin Yuelin","Hao Wang"
"Vic Reeves","Harry Hill"
"Robert Southey","Hart Crane"
"Georg Gottlob Richter","Heinrich August Wrisberg"
"Eugen Bleuler","Hermann Rorschach"
"Alexander Pushkin","Hristo Botev"
"Ken Kesey","Hunter S. Thompson"
"Al-Dhahabi","Ibn Kathir"
"Alexander Pushkin","Ilya Repin"
"Alexei Savrasov","Isaac Levitan"
"Clark Ashton Smith","Jack Vance"
"Robert W. Chambers","Jack Vance"
"Hart Crane","John Berryman"
"Philippa Foot","John McDowell"
"Robert B. Pippin","John McDowell"
"Jack Smith","John Waters"
"William Styron","Jonathan Kozol"
"Mário de Sá-Carneiro","José de Almada Negreiros"
"Karel Hynek Mácha","Josef Hora"
"Jack Vance","Kage Baker"
"Richard Swinburne","Keith Ward"
"Hans Lipps","Knud Ejler Løgstrup"
"René Guénon","Martin Lings"
"Émile Durkheim","Mary Douglas"
"Vic Reeves","Matt Lucas"
"Jack Smith","Mike Kelley"
"Hans Jonas","Murray Bookchin"
"Muhammad Husayn Tabatabaei","Musa al-Sadr"
"Jack Smith","Nan Goldin"
"Abbie Hoffman","Naomi Wolf"
"Vissarion Belinsky","Nikolay Nekrasov"
"Alexander Pushkin","Nikolay Nekrasov"
"Sidney Hook","Paul Kurtz"
"A. J. Ayer","R. M. Hare"
"Amy Hempel","Rick Moody"
"Robert B. Pippin","Robert Brandom"
"Wilhelm von Gloeden","Robert Mapplethorpe"
"Jack Vance","Robert Silverberg"
"Jack Vance","Robin Hobb"
"H. L. A. Hart","Ronald Dworkin"
"Lon L. Fuller","Ronald Dworkin"
"Paul Otlet","S. R. Ranganathan"
"Henry Head","Siegfried Sassoon"
"Ted Hughes","Simon Armitage"
"Bernard Cornwell","Simon Scarrow"
"Josip Murn","Srečko Kosovel"
"Alan Moore","Susanna Clarke"
"Alfred North Whitehead","Susanne Langer"
"Chevy Chase","Tim Allen"
"Kyōka Izumi","Ton Satomi"
"Anton Pann","Tudor Arghezi"
"Ilya Repin","Valentin Serov"
"Konstantin Makovsky","Valentin Serov"
"Paul Otlet","Vannevar Bush"
"Peter van de Kamp","Wilhelm Gliese"
"Chevy Chase","Will Arnett"
"Alfred North Whitehead","William Frankena"
"Charles Grafton Page","William Sturgeon"
"Alfred Stieglitz","Willy Ronis"
"C. D. Broad","A. J. Ayer"
"Nikolai Berdyaev","Aldous Huxley"
"Yevgeny Zamyatin","Aldous Huxley"
"Jakob Böhme","Arthur Schopenhauer"
"Lucy Maud Montgomery","Astrid Lindgren"
"Randolph Caldecott","Beatrix Potter"
"Philippa Foot","Bernard Williams"
"Patrick Moore","Brian May"
"Otto Rank","Carl Rogers"
"Arcesilaus","Carneades"
"Alfred North Whitehead","Gilles Deleuze"
"A. Merritt","H. P. Lovecraft"
"Clark Ashton Smith","H. P. Lovecraft"
"Robert W. Chambers","H. P. Lovecraft"
"Hishikawa Moronobu","Hiroshige"
"Aldous Huxley","Isaiah Berlin"
"Alexander Pushkin","Ivan Bunin"
"David Hartley","James Mill"
"Jack Smith","John Cale"
"H. L. A. Hart","John Rawls"
"David Bohm","John Stewart Bell"
"H. L. A. Hart","Joseph Raz"
"John Argyropoulos","Leonardo da Vinci"
"Émile Durkheim","Marcel Mauss"
"Alfred North Whitehead","Maurice Merleau-Ponty"
"Werner Sombart","Max Weber"
"Alexis de Tocqueville","Max Weber"
"Han Ryner","Michel Onfray"
"Aristippus","Michel Onfray"
"Chevy Chase","Mike Myers"
"Kazi Nazrul Islam","Orhan Pamuk"
"Reşat Ekrem Koçu","Orhan Pamuk"
"Alice Pike Barney","Oscar Wilde"
"James Braid","Paul Broca"
"Alexander Pushkin","Prosper Mérimée"
"W. D. Hamilton","Richard Dawkins"
"Friedrich Heinrich Jacobi","Søren Kierkegaard"
"Ted Hughes","Seamus Heaney"
"Srečko Kosovel","Susanna Tamaro"
"Émile Durkheim","Talcott Parsons"
"Alfred North Whitehead","Talcott Parsons"
"Alexander Pushkin","Taras Shevchenko"
"Paul Otlet","Ted Nelson"
"Vannevar Bush","Ted Nelson"
"Paul Otlet","Tim Berners-Lee"
"Ken Kesey","Tom Wolfe"
"Lucy Maud Montgomery","Tracy Chevalier"
"Andrei Voznesensky","W. H. Auden"
"Kyōka Izumi","Yukio Mishima"
"James Braid","Étienne Eugène Azam"
"Jacques Rivière","Alain-Fournier"
