"Émile Boutroux","Maurice Blondel"
"Émile Meyerson","Gaston Bachelard"
"Abdulhakim Arvasi","Necip Fazıl Kısakürek"
"Abdulhakim Arvasi","Hüseyin Hilmi Işık"
"Abdulhakim Arvasi","Fiqh"
"Abdulhakim Arvasi","Islamic philosophy"
"Alan Watts","Monica Furlong"
"Alexius Meinong","Roderick Chisholm"
"Alexius Meinong","Bertrand Russell"
"Alexius Meinong","Terence Parsons"
"Alexius Meinong","Ernst Mally"
"Alexius Meinong","Richard Hönigswald"
"Bernard Stiegler","Daniel Ross"
"Bob Black","CrimethInc."
"Bob Black","Robert Wringham"
"C. D. Broad","A. J. Ayer"
"Christian von Ehrenfels","Felix Weltsch"
"Christoph von Sigwart","William James"
"Christoph von Sigwart","F. H. Bradley"
"Christoph von Sigwart","Bertrand Russell"
"Christoph von Sigwart","Bernard Bosanquet"
"Claude Adrien Helvétius","Cesare Beccaria"
"Cornel West","Gary Peller"
"David Hartley","James Mill"
"David Hartley","William James"
"David Hartley","William Wordsworth"
"Emerich de Vattel","Benjamin Franklin"
"Emerich de Vattel","George Washington"
"Emerich de Vattel","Alexander Hamilton"
"Emerich de Vattel","Western philosophy"
"Friedrich Albert Lange","Hermann Cohen"
"Friedrich Albert Lange","Friedrich Nietzsche"
"Friedrich Albert Lange","Eduard Bernstein"
"Friedrich Heinrich Jacobi","Søren Kierkegaard"
"Friedrich Heinrich Jacobi","Georg Wilhelm Friedrich Hegel"
"Friedrich Heinrich Jacobi","Martin Heidegger"
"Friedrich Heinrich Jacobi","Moses Mendelssohn"
"Friedrich Heinrich Jacobi","Johann Gottlieb Fichte"
"Friedrich Heinrich Jacobi","Victor Cousin"
"Friedrich Heinrich Jacobi","Jakob Friedrich Fries"
"Gaetano Mosca","C. Wright Mills"
"Gaetano Mosca","Seymour Martin Lipset"
"Gaetano Mosca","Robert Michels"
"Gaetano Mosca","Joseph Schumpeter"
"Georg Henrik von Wright","Karl-Otto Apel"
"Georg Henrik von Wright","Jaakko Hintikka"
"Héctor-Neri Castañeda","John Perry"
"Héctor-Neri Castañeda","Jerome Gellman"
"H. L. A. Hart","Ronald Dworkin"
"H. L. A. Hart","John Rawls"
"H. L. A. Hart","Joseph Raz"
"H. L. A. Hart","Leslie Green"
"H. L. A. Hart","Neil MacCormick"
"H. L. A. Hart","John Gardner"
"H. L. A. Hart","Stephen Guest"
"H. L. A. Hart","Jules Coleman"
"H. L. A. Hart","Brian Barry"
"H. L. A. Hart","Jeremy Waldron"
"H. L. A. Hart","John Finnis"
"H. L. A. Hart","Matthew Kramer"
"H. L. A. Hart","W.J. Waluchow"
"Han Ryner","Michel Onfray"
"Han Ryner","Iniciales"
"Han Ryner","Maria Lacerda de Moura"
"Han Ryner","La Revista Blanca"
"Hans Jonas","Murray Bookchin"
"Hans Jonas","John Crowley"
"Hans Jonas","Eric Voegelin"
"Hans Jonas","Leon Kass"
"Hans Jonas","Harold Bloom"
"Hans Jonas","Hannah Arendt"
"Hans Jonas","Zygmunt Bauman"
"Hans Jonas","Vittorio Hösle"
"Hans Kamp","Nicholas Asher"
"Hans Lipps","Knud Ejler Løgstrup"
"Hermann Ulrici","Andrew Seth Pringle-Pattison"
"Hubert Dreyfus","Tao Ruspoli"
"Hubert Dreyfus","Mark Wrathall"
"Hubert Dreyfus","John Searle"
"Hubert Dreyfus","Richard Rorty"
"Hubert Dreyfus","Tim van Gelder"
"Hubert Dreyfus","Don Ihde"
"Hubert Dreyfus","John Haugeland"
"Hubert Dreyfus","Alva Noë"
"Hubert Dreyfus","Philosophy of artificial intelligence"
"Hubert Dreyfus","Charles Taylor"
"Hubert Dreyfus","Nikolas Kompridis"
"J. M. E. McTaggart","Michael Dummett"
"J. M. E. McTaggart","Peter Geach"
"Jakob Böhme","Arthur Schopenhauer"
"Jakob Böhme","Friedrich Wilhelm Joseph Schelling"
"Jakob Böhme","Georg Wilhelm Friedrich Hegel"
"Jakob Böhme","William Law"
"Jakob Böhme","John Pordage"
"Jakob Böhme","Julius Evola"
"Jakob Böhme","Pierre Poiret"
"Jakob Böhme","Louis Claude de Saint-Martin"
"Johannes Nikolaus Tetens","Immanuel Kant"
"John Colet","Desiderius Erasmus"
"John Wycliffe","Jan Hus"
"Jules Vuillemin","Jean Bricmont"
"Jules Vuillemin","Jacques Bouveresse"
"Jun Tsuji","Eisuke Yoshiyuki"
"Jun Tsuji","Noe Ito"
"Knud Ejler Løgstrup","Zygmunt Bauman"
"Kostas Axelos","Jacques Derrida"
"Kostas Axelos","Henri Lefebvre"
"Leszek Kołakowski","Solidarity"
"Leszek Kołakowski","Christopher Hitchens"
"Lon L. Fuller","Ronald Dworkin"
"Lon L. Fuller","Ian Roderick Macneil"
"Martha Fineman","Nancy Fraser"
"Mary Daly","Janice Raymond"
"Muhammad Husayn Tabatabaei","Musa al-Sadr"
"Muhammad Husayn Tabatabaei","Dariush Shayegan"
"Muhammad Husayn Tabatabaei","Henry Corbin"
"Muhammad Husayn Tabatabaei","Mohammad Beheshti"
"Muhammad Husayn Tabatabaei","Abdollah Javadi-Amoli"
"Muhammad Husayn Tabatabaei","Muhammad al-Tijani"
"Muhammad Husayn Tabatabaei","Ebrahim Amini"
"Muhammad Husayn Tabatabaei","Morteza Motahhari"
"Muhammad Husayn Tabatabaei","Naser Makarem Shirazi"
"Muhammad Husayn Tabatabaei","Hossein Nasr"
"Muhammad Husayn Tabatabaei","Hasan Hasanzade Amoli"
"Muhammad Husayn Tabatabaei","Jalaleddin Ashtiani"
"Muhammad Husayn Tabatabaei","Muhammad Mofatteh"
"Nikolai Berdyaev","Aldous Huxley"
