artist,album,label,release_year,reviewer,score,accolade,publish_date,url
Björk,Bastards, One Little Indian,2012,Jayson Greene, 5.2 , ,2012-12-11,http://pitchfork.com/reviews/albums/17386-bastards/
Amy Winehouse,At The BBC, Universal,2012,Douglas Wolk, 3.1 , ,2012-12-11,http://pitchfork.com/reviews/albums/17295-at-the-bbc/
Lil Durk,Life Ain't No Joke, Def Jam,2012,Jordan Sargent, 6.5 , ,2012-12-11,http://pitchfork.com/reviews/albums/17441-life-aint-no-joke/
Estasy,Wild Songs, Acéphale,2012,Hari Ashurst, 6.9 , ,2012-12-11,http://pitchfork.com/reviews/albums/17416-wild-songs/
Raglani,Real Colors of the Physical World, Editions Mego,2012,Marc Masters, 7.7 , ,2012-12-11,http://pitchfork.com/reviews/albums/17378-real-colors-of-the-physical-world/
Big Boi,Vicious Lies and Dangerous Rumors, Island Def Jam,2012,Miles Raymer, 6.1 , ,2012-12-10,http://pitchfork.com/reviews/albums/17294-vicious-lies-and-dangerous-rumors/
Peaking Lights,Lucifer In Dub, Mexican Summer,2012,Stuart Berman, 6.6 , ,2012-12-10,http://pitchfork.com/reviews/albums/17429-lucifer-in-dub/
Charles Mingus,The Jazz Workshop Concerts 1964–65, Mosaic,2012,Hank Shteamer, 8.4 , ,2012-12-10,http://pitchfork.com/reviews/albums/17430-the-jazz-workshop-concerts-196465/
Container,LP, Spectrum Spools,2012,Andrew Gaerig, 7.4 , ,2012-12-10,http://pitchfork.com/reviews/albums/17481-lp/
Cold Pumas,Persistent Malaise, Italian Beach Babes / Faux Discx / Gringo,2012,Laura Snapes, 7.4 , ,2012-12-10,http://pitchfork.com/reviews/albums/17355-persistent-malaise/
Captain Murphy,Duality, self-released,2012,Ian Cohen, 8.0 , ,2012-12-07,http://pitchfork.com/reviews/albums/17482-duality/
Jozef Van Wissem & Jim Jarmusch,The Mystery of Heaven, Sacred Bones,2012,Nick Neyland, 6.4 , ,2012-12-07,http://pitchfork.com/reviews/albums/17480-the-mystery-of-heaven/
The Rosebuds,Love Deluxe, self-released,2012,Eric Harvey, 6.0 , ,2012-12-07,http://pitchfork.com/reviews/albums/17464-love-deluxe/
Girls Aloud,Ten, Fascination,2012,Douglas Wolk, 7.0 , ,2012-12-07,http://pitchfork.com/reviews/albums/17467-ten/
Starred,Prison to Prison EP, Pendu Sound,2012,Zach Kelly, 6.8 , ,2012-12-07,http://pitchfork.com/reviews/albums/17447-prison-to-prison-ep/
Memory Tapes,Grace/Confusion, Carpark,2012,Ian Cohen, 6.2 , ,2012-12-06,http://pitchfork.com/reviews/albums/17393-graceconfusion/
Saint Etienne,Casino Classics, Heavenly,1996,Marc Hogan, 7.2 , ,2012-12-06,http://pitchfork.com/reviews/albums/17439-casino-classics-lipslide/
Majical Cloudz,Turns Turns Turns EP, Arbutus / Merok,2012,Lindsay Zoladz, 7.6 , ,2012-12-06,http://pitchfork.com/reviews/albums/17451-turns-turns-turns-ep/
Stubborn Heart,Stubborn Heart, One Little Indian,2012,Hari Ashurst, 5.8 , ,2012-12-06,http://pitchfork.com/reviews/albums/17364-stubborn-heart/
Von,Satanic Blood, Von Records,2012,Grayson Currin, 5.0 , ,2012-12-06,http://pitchfork.com/reviews/albums/17435-satanic-blood/
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness, EMI,2012,Ian Cohen, 9.3 , Best New Reissue ,2012-12-05,http://pitchfork.com/reviews/albums/17389-mellon-collie-and-the-infinite-sadness/
Sharon Van Etten,Demos, Jagjaguwar,2012,Laura Snapes, 7.1 , ,2012-12-05,http://pitchfork.com/reviews/albums/17474-tramp-deluxe-edition/
Tiga,Tiga Non Stop, PIAS / Different,2012,Andrew Gaerig, 7.3 , ,2012-12-05,http://pitchfork.com/reviews/albums/17359-tiga-non-stop/
Roomful of Teeth,Roomful of Teeth, New Amsterdam,2012,Jayson Greene, 7.0 , ,2012-12-05,http://pitchfork.com/reviews/albums/17413-roomful-of-teeth/
NIDINGR,Greatest of Deceivers, Indie,2012,Miles Raymer, 5.7 , ,2012-12-05,http://pitchfork.com/reviews/albums/17453-greatest-of-deceivers/
Interpol,Turn on the Bright Lights: The Tenth Anniversary Edition, Matador,2012,Matt LeMay, 9.5 , Best New Reissue ,2012-12-04,http://pitchfork.com/reviews/albums/17324-turn-on-the-bright-lights-the-tenth-anniversary-edition/
Alicia Keys,Girl on Fire, RCA,2012,Stephen M. Deusner, 7.1 , ,2012-12-04,http://pitchfork.com/reviews/albums/17476-girl-on-fire/
Wu-Block,Wu-Block, E1,2012,Jayson Greene, 6.5 , ,2012-12-04,http://pitchfork.com/reviews/albums/17446-wu-block/
Umberto,Night Has a Thousand Screams, Rock Action,2012,Nick Neyland, 6.1 , ,2012-12-04,http://pitchfork.com/reviews/albums/17385-night-has-a-thousand-screams/
Forgotten Tomb,...And Don't Deliver Us From Evil, Agonia,2012,Kim Kelly, 7.5 , ,2012-12-04,http://pitchfork.com/reviews/albums/17382-and-dont-deliver-us-from-evil/
Scott Walker,Bish Bosch, 4AD,2012,Mike Powell, 8.0 , ,2012-12-03,http://pitchfork.com/reviews/albums/17387-bish-bosch/
Charli XCX,Super Ultra, self-released,2012,Miles Raymer, 5.0 , ,2012-12-03,http://pitchfork.com/reviews/albums/17457-super-ultra/
Cut Hands,Black Mamba, Susan Lawly,2012,Nick Neyland, 6.8 , ,2012-12-03,http://pitchfork.com/reviews/albums/17444-black-mamba/
Tyvek,On Triple Beams, In the Red,2012,Evan Minsker, 8.0 , ,2012-12-03,http://pitchfork.com/reviews/albums/17411-on-triple-beams/
Dragged Into Sunlight,Widowmaker, Prosthetic,2012,Grayson Currin, 6.2 , ,2012-12-03,http://pitchfork.com/reviews/albums/17381-widowmaker/
Massive Attack,Blue Lines: Remastered Box Set, EMI,2012,Miles Raymer, 9.0 , Best New Reissue ,2012-11-30,http://pitchfork.com/reviews/albums/17384-blue-lines-remastered-box-set/
Tim Hecker / Daniel Lopatin,Instrumental Tourist, Software,2012,Mark Richardson, 7.5 , ,2012-11-30,http://pitchfork.com/reviews/albums/17327-instrumental-tourist/
Kylesa,"From the Vaults, Vol. 1", Season of Mist,2012,Grayson Currin, 7.3 , ,2012-11-30,http://pitchfork.com/reviews/albums/17325-from-the-vaults-vol-1/
The Crystal Ark,The Crystal Ark, DFA,2012,Jonah Bromwich, 5.6 , ,2012-11-30,http://pitchfork.com/reviews/albums/17340-the-crystal-ark/
Allah-Las,Allah-Las, Innovative Leisure,2012,Steven Hyden, 6.9 , ,2012-11-30,http://pitchfork.com/reviews/albums/17463-the-allah-las/
X-TG,Desertshore/The Final Report, Industrial,2012,Nick Neyland, 7.8 , ,2012-11-29,http://pitchfork.com/reviews/albums/17376-desertshore/
French Montana,Mac & Cheese 3, Coke Boys,2012,Ian Cohen, 5.4 , ,2012-11-29,http://pitchfork.com/reviews/albums/17466-mac-cheese-3/
