Beam Type 	M	h	b	s	t	r	d	A	Ix	Iy	rx	ry	Zx	Zy	Sx	Sy

Units       kg/m	mm	mm	mm	mm	mm	mm	cm2	cm4	cm4	cm	cm	cm3	cm3	cm3	cm3

914x419x388	388	921	420.5	21.4	36.6	24.1	799.6	494	719635	45438	38.2	9.59	15627	2161	17665	3341

914x419x343	343.3	911.8	418.5	19.4	32	24.1	799.6	437	625780	39156	37.8	9.46	13726	1871	15477	2890

914x305x289	289.1	926.6	307.7	19.5	32	19.1	824.4	368	504187	15597	37	6.51	10883	1014	12570	1601
914x305x253	253.4	918.4	305.5	17.3	27.9	19.1	824.4	323	436305	13301	36.8	6.42	9501	871	10942	1371
914x305x224	224.2	910.4	304.1	15.9	23.9	19.1	824.4	286	376414	11236	36.3	6.27	8269	739	9535	1163
914x305x201	200.9	903	303.3	15.1	20.2	19.1	824.4	256	325254	9423	35.7	6.07	7204	621	8351	982
838x292x226	226.5	850.9	293.8	16.1	26.8	17.8	761.7	289	339704	11360	34.3	6.27	7985	773	9155	1212
838x292x194	193.8	840.7	292.4	14.7	21.7	17.8	761.7	247	279175	9066	33.6	6.06	6641	620	7640	974
838x292x176	175.9	834.9	291.7	14	18.8	17.8	761.7	224	246021	7799	33.1	5.9	5893	535	6808	842
762x267x197	196.8	769.8	268	15.6	25.4	16.5	686	251	239957	8175	30.9	5.71	6234	610	7167	959
762x267x173	173	762.2	266.7	14.3	21.6	16.5	686	220	205282	6850	30.5	5.58	5387	514	6198	807
762x267x147	146.9	754	265.2	12.8	17.5	16.5	686	187	168502	5455	30	5.4	4470	411	5156	647
762x267x134	133.9	750	264.4	12	15.5	16.5	686	171	150692	4788	29.7	5.3	4018	362	4644	570
686x254x170	170.2	692.9	255.8	14.5	23.7	15.2	615.1	217	170326	6630	28	5.53	4916	518	5631	811
686x254x152	152.4	687.5	254.5	13.2	21	15.2	615.1	194	150355	5784	27.8	5.46	4374	455	5000	710
686x254x140	140.1	683.5	253.7	12.4	19	15.2	615.1	178	136267	5183	27.6	5.39	3987	409	4558	638
686x254x125	125.2	677.9	253	11.7	16.2	15.2	615.1	159	117992	4383	27.2	5.24	3481	346	3994	542
610x305x238	238.1	635.8	311.4	18.4	31.4	16.5	540	303	209471	15837	26.3	7.23	6589	1017	7486	1574
610x305x179	179	620.2	307.1	14.1	23.6	16.5	540	228	153024	11408	25.9	7.07	4935	743	5547	1144
610x305x149	149.2	612.4	304.8	11.8	19.7	16.5	540	190	125876	9308	25.7	7	4111	611	4594	937
610x229x140	139.9	617.2	230.2	13.1	22.1	12.7	547.6	178	111777	4505	25	5.03	3622	391	4142	611
610x229x125	125.1	612.2	229	11.9	19.6	12.7	547.6	159	98610	3932	24.9	4.97	3221	343	3676	535
610x229x113	113	607.6	228.2	11.1	17.3	12.7	547.6	144	87318	3434	24.6	4.88	2874	301	3281	469
